,assignment_group,closure_rate
0,ABV-SN-Ecrystal-IMTransfer,1.0
1,ADInfrastructure-Lev2,0.6666666666666666
2,Access-Governance-L3,1.0
3,Access-Governance-Lev2,1.0
4,AdobeCloud-Lev2,1.0
5,AdvancedAuthentication-Lev2,0.9375
6,AnalyticsBi-Lev2-L3,1.0
7,Ariba-Expnce-Lev2,1.0
8,Ariba-L3,1.0
9,Bakup_Tek-SVC-Lev2,0.8104575163398693
10,Broadcast-Lev2,1.0
11,BusinessIntelligence-Lev2,1.0
12,BusinessIntelligenceSyndicate-Lev2,1.0
13,CH-CyberDefense-L1,1.0
14,CH-CyberDefense-Lev2,1.0
15,CH-DataAnalyticsTeam-Lev2,1.0
16,CH-E2EVisibility-DevOps-Applications-Lev2,1.0
17,CH-E2EVisibility-LCT,1.0
18,CH-Roger-Lev2,1.0
19,CH-TechTooling-Lev2,1.0
20,CHAPIApigee-Lev2,1.0
21,CHMDM-Lev2,0.7142857142857143
22,CRS-BT-Telephony-Lev2,1.0
23,Cloud Edge-Infra-SVC-Lev2,0.0
24,Collaboration-Lev2,1.0
25,CommandCenter-MIMTech,1.0
26,ConsumerRelationsManagement-Lev2,1.0
27,ContentExcellence-Promomats-Lev2,1.0
28,ContentExcellence-Streamline-Lev2,0.0
29,CorpTech-FinProc-Lev2,1.0
30,CorpTech-HRBenefitServices-Lev2,1.0
31,CorpTech-HRDataManagement-Lev2,1.0
32,CorpTech-Legal-Support-Lev2,1.0
33,CorpTech-WMAS-Lev2,1.0
34,CryptographicKey-Lev2,1.0
35,Deskside-Alcala-L1,1.0
36,Deskside-Asia-House-L1,1.0
37,Deskside-Athens-L1,1.0
38,Deskside-Bangalore-L1,1.0
39,Deskside-Baranzate-L1,1.0
40,Deskside-Brazil-LeMonde-L1,1.0
41,Deskside-Budapest-L1,1.0
42,Deskside-Buenos-Aires-L1,1.0
43,Deskside-CapeTown-L1,1.0
44,Deskside-Chennai-L1,1.0
45,Deskside-Civac-L1,1.0
46,Deskside-DubaiArenco-L1,1.0
47,Deskside-Dungarvan-L1,1.0
48,Deskside-Guayama-L1,1.0
49,Deskside-India-Gurgaon-L1,1.0
50,Deskside-Istanbul-L1,1.0
51,Deskside-Jamshoro-L1,1.0
52,Deskside-Karachi West Wharf-L1,1.0
53,Deskside-Leon-L1,1.0
54,Deskside-Levice-L1,1.0
55,Deskside-Lima-L1,1.0
56,Deskside-Lincoln-L1,1.0
57,Deskside-Maidenhead-L1,1.0
58,Deskside-Marisa-L1,1.0
59,Deskside-Mexico-Artz-L1,1.0
60,Deskside-Moscow-L1,1.0
61,Deskside-MountThomas-L1,1.0
62,Deskside-Nagpur-L1,1.0
63,Deskside-Nairobi-L1,1.0
64,Deskside-Panama-L1,1.0
65,Deskside-Peringan-L1,1.0
66,Deskside-Poznan-Business-Garden-L1,1.0
67,Deskside-Prague-L1,1.0
68,Deskside-Pulogadung-L1,1.0
69,Deskside-Santiago-L1,1.0
70,Deskside-Seoul-L1,1.0
71,Deskside-TerraCampus-L1,1.0
72,Deskside-Thailand-Bangkok-L1,1.0
73,Deskside-Tokyo-L1,1.0
74,Deskside-Tres-Cantos-L1,1.0
75,Deskside-Warsaw-Cirrus-L1,1.0
76,DigitalSignature-Lev2,1.0
77,DirectoryServices-Lev2,1.0
78,Dungarvan-Automation-Lev2,1.0
79,EmailServices-Lev2,1.0
80,EngineeringSystems-Lev2,1.0
81,EnterpriseComputingWindows-Lev2,1.0
82,ExecutiveTechSupport-Lev2,1.0
83,ExpertOps-US-Lev2,1.0
84,Expnce-Cognos-Lev2,1.0
85,Expnce-L3,1.0
86,FIN-CC-Cadency-ABVOps-Global,0.0
87,FIN-ERP-Access-Global,1.0
88,FIN-FSSC-HelpDesk-Russia,1.0
89,FSO-Dispatch-L1,1.0
90,FileSharing-Lev2,1.0
91,First-SFA-L3,1.0
92,First-SFA-Lev2,1.0
93,Global-Citrix-Lev2,1.0
94,GlobalOracle-L3,1.0
95,GlobalOracle-Lev2,1.0
96,GlobalOracle-Security-Lev2,1.0
97,GuayamaLocalSite-Lev2,1.0
98,GuayamaLocalSiteOCDS-Lev2,1.0
99,GuayamaLocalSiteSLIMS-Lev2,1.0
100,ISC-LocalAppSupport-Lev2,1.0
101,InfraWind-SVC-Lev2,1.0
102,Infra_Unix-SVC-Lev2,1.0
103,L&D-Digital-Learning-Services-Lev2,1.0
104,LabEngineering-DLS,1.0
105,LabOperations-Lev2,1.0
106,LeonLocalSite-Lev2,1.0
107,MW-Lev2-L3,1.0
108,MWB2B-AppConnect-Lev2-L3,1.0
109,MWB2B-DTC_POVR-Lev2-L3,1.0
110,MWB2B-GXS-Lev2-L3,1.0
111,MaidenheadLocalSite-Lev2,1.0
112,ManufacturingExecution-Lev2,1.0
113,MobileDeviceMgt-Lev2,1.0
114,NPIPackPortfolio-CHAMPS-Lev2,1.0
115,NPIPackPortfolio-myPSR-Lev2,1.0
116,NetTool-Lev2,1.0
117,NxGen-CloudDatabaseSQL-SVC-Lev2,0.15
118,O365Collaboration-Lev2,1.0
119,O365PRXXuctivityBusinesSFAps-Lev2,1.0
120,OfficeSuiteApplications-Lev2,1.0
121,PC-AppCatalogInstall-Lev2,1.0
122,PC-Build-Lev2,1.0
123,PC-EPM-and-Policy-Lev2,1.0
124,PC-PRXXucts-Lev2,1.0
125,PrintSupport-Lev2,1.0
126,Privileged-Access-Admin-Lev2,1.0
127,QualityApplications-Lev2,1.0
128,RF-Gun-Lev2,1.0
129,RPA-Lev2-L3,1.0
130,RPABotSupport-Lev2-L3,1.0
131,RicohSupport-Lev2,1.0
132,SCS-DocMgt-Training-L1,1.0
133,SCS-Serialisation-Lev2-L3,1.0
134,SCS-SupplyChain-L1,1.0
135,SFA-ABAP-L3,1.0
136,SFA-BISON-Lev2,1.0
137,SFA-BW-L3,1.0
138,SFA-BW-Lev2,1.0
139,SFA-Basis-Non-PRXX-Lev2-L3,1.0
140,SFA-Basis-PRXX-Lev2-L3,1.0
141,SFA-CF-Value-Lev2,1.0
142,SFA-CF-Volume-L3,1.0
143,SFA-CF-Volume-Lev2,1.0
144,SFA-Direct-Procurement-L3,1.0
145,SFA-Direct-Procurement-Lev2,1.0
146,SFA-Fieldglass-Internal-Tech-Lev2,1.0
147,SFA-Op.Finance-L3,1.0
148,SFA-Op.Finance-Lev2,1.0
149,SFA-PI-PO-Lev2,1.0
150,SFA-PRXXuction-Lev2,1.0
151,SFA-Portal-Lev2,1.0
152,SFA-Procurement-L3,1.0
153,SFA-Procurement-Lev2,1.0
154,SFA-QM-Lev2,1.0
155,SFA-SFS-Finance-L3,1.0
156,SFA-SFS-Finance-Lev2,1.0
157,SFA-SQMC-Lev2,1.0
158,SFA-SalesDistribution-L3,1.0
159,SFA-SalesDistribution-Lev2,1.0
160,SFA-Security-Lev2,1.0
161,SFA-Serialisation-Lev2,1.0
162,SFA-ServiceMgmt-L3,1.0
163,SFA-TSM,0.875
164,SFA-UserManagement-Lev2,1.0
165,SFA-Warehousing-L3,1.0
166,SFA-Warehousing-Lev2,1.0
167,SFA-Workflow-Lev2,1.0
168,SMBOPlatform-Core-Lev2,1.0
169,SMBOPlatform-Delinea,1.0
170,SMBOPlatform-RequestManagement-Lev2,1.0
171,SecureFileTransfer-Lev2,1.0
172,TechServiceDesk-APAC-NonEnglish-L1,1.0
173,TechServiceDesk-EMEA-L1,1.0
174,TechServiceDesk-Global-English-L1,1.0
175,TechServiceDesk-LATAM-L1,1.0
176,TrackTracePRXXuct-Lev2,1.0
177,UserAccount-Lev2,1.0
178,VoiceMobileUK-Lev2,1.0
179,WebHosting-Lev2,0.0
180,myLearning-Lev2,1.0
